PLANT_NAME,PLANT_DESIGN_CAPACITY_MWE,PLANT_COUNTRY,PLANT_STATE,TYPE,PLANT_OVERALL_RATING,PLANT_LATITUDE,PLANT_LONGITUDE,geopoint,PLANT_TYPE_OF_PLANT,PLANT_USED_FOR,PLANT_URL,PLANT_LOCATION,TOPIC,,TYPE_URL
Chiayi (Chiahui) CCGT Power Plant Taiwan,670,Republic of China Taiwan,Taiwan,GAS,Environmentally Responsible,23.50724137,120.4351759,"23.5072413665, 120.435175896",,,http://www.globalenergyobservatory.org/geoid/2655,,POWERPLANTS,,http://www.globalenergyobservatory.org/list.php?db=PowerPlants&type=Gas
Sun Ba (Fong Der) CCGT Power Plant Taiwan,980,Republic of China Taiwan,Taiwan,GAS,Environmentally Responsible,23.2667,120.3588,"23.2667, 120.3588",,,http://www.globalenergyobservatory.org/geoid/5590,,POWERPLANTS,,http://www.globalenergyobservatory.org/list.php?db=PowerPlants&type=Gas
Poryong (Boryeong) CCGT Power Plant South Korea,2000,Republic of Korea,Chungcheongnam-do,GAS,Environmentally Responsible,36.3951,126.486,"36.3951, 126.486",Combined Cycle Gas Turbine,,http://www.globalenergyobservatory.org/geoid/4873,"Poryong, Chungcheongnam-do, South Korea",POWERPLANTS,,http://www.globalenergyobservatory.org/list.php?db=PowerPlants&type=Gas
Pyeongtaek CCGT Power Plant South Korea,1348,Republic of Korea,Gyeonggi-do,GAS,Environmentally Responsible,37.00748,126.7953,"37.00748, 126.7953",Combined Cycle Gas Turbine,Peaking Load,http://www.globalenergyobservatory.org/geoid/42513,"Pyeongtaek. Gyeonggi-do, South Korea",POWERPLANTS,,http://www.globalenergyobservatory.org/list.php?db=PowerPlants&type=Gas
Yulchon CCGT Power Plant South Korea,577,Republic of Korea,Jeollanam-do,GAS,Environmentally Responsible,34.913,127.593,"34.913, 127.593",,,http://www.globalenergyobservatory.org/geoid/6203,,POWERPLANTS,,http://www.globalenergyobservatory.org/list.php?db=PowerPlants&type=Gas
Petrom Brazi CCGT Power Plant Romania,860,Romania,Prahova,GAS,Environmentally Responsible,44.8802,25.9988,"44.8802, 25.9988",Combined Cycle Gas Turbine,Base Load,http://www.globalenergyobservatory.org/geoid/42206,"Petrobrazi Refinery, Ploiesti, Prahova, Romania",POWERPLANTS,,http://www.globalenergyobservatory.org/list.php?db=PowerPlants&type=Gas
Ufimskaya TPP-2 Power Plant Russia,514,Russian Federation,Bashkortostan,GAS,Environmentally Responsible,54.7898,56.119,"54.7898, 56.119",Heat and Power Steam Turbine,Cogeneration,http://www.globalenergyobservatory.org/geoid/46022,"Selskaya Bogorodskaya street, 6 450039, Ufa, Republic of Bashkortostan, Russia",POWERPLANTS,,http://www.globalenergyobservatory.org/list.php?db=PowerPlants&type=Gas
Bucksport Mill Gas Plant ME USA,274.4,United States of America,Maine,GAS,Environmentally Responsible,44.5739,-68.8033,"44.5739, -68.8033",,,http://www.globalenergyobservatory.org/geoid/2468,,POWERPLANTS,,http://www.globalenergyobservatory.org/list.php?db=PowerPlants&type=Gas
Millennium Hawkins Point Gas Plant MD USA,10.5,United States of America,Maryland,GAS,Environmentally Responsible,39.4654,-76.6482,"39.4654, -76.6482",,,http://www.globalenergyobservatory.org/geoid/4290,,POWERPLANTS,,http://www.globalenergyobservatory.org/list.php?db=PowerPlants&type=Gas
Perryman Gas Plant MD USA,404.4,United States of America,Maryland,GAS,Environmentally Responsible,39.4422,-76.2208,"39.4422, -76.2208",,,http://www.globalenergyobservatory.org/geoid/4759,,POWERPLANTS,,http://www.globalenergyobservatory.org/list.php?db=PowerPlants&type=Gas
Riverside Gas Plant MD USA,257.2,United States of America,Maryland,GAS,Environmentally Responsible,39.2369,-76.505,"39.2369, -76.505",,,http://www.globalenergyobservatory.org/geoid/5115,,POWERPLANTS,,http://www.globalenergyobservatory.org/list.php?db=PowerPlants&type=Gas
Rock Springs Generation Facility Gas Plant MD USA,772.6,United States of America,Maryland,GAS,Environmentally Responsible,39.7183,-76.1606,"39.7183, -76.1606",,,http://www.globalenergyobservatory.org/geoid/5146,,POWERPLANTS,,http://www.globalenergyobservatory.org/list.php?db=PowerPlants&type=Gas
Sweetheart Cup Owings Mills Gas Plant MD USA,11.2,United States of America,Maryland,GAS,Environmentally Responsible,39.4654,-76.6482,"39.4654, -76.6482",,,http://www.globalenergyobservatory.org/geoid/5619,,POWERPLANTS,,http://www.globalenergyobservatory.org/list.php?db=PowerPlants&type=Gas
Westport Gas Plant MD USA,121.5,United States of America,Maryland,GAS,Environmentally Responsible,39.2667,-76.6333,"39.2667, -76.6333",,,http://www.globalenergyobservatory.org/geoid/6069,,POWERPLANTS,,http://www.globalenergyobservatory.org/list.php?db=PowerPlants&type=Gas
ANP Bellingham Energy Project Gas Plant MA USA,578,United States of America,Massachusetts,GAS,Environmentally Responsible,42.1105,-71.4532,"42.1105, -71.4532",Combined Cycle Gas Turbine,,http://www.globalenergyobservatory.org/geoid/2132,"Norfolk County, MA, USA",POWERPLANTS,,http://www.globalenergyobservatory.org/list.php?db=PowerPlants&type=Gas
Bellingham Energy Center Power Plant MA USA,300,United States of America,Massachusetts,GAS,Environmentally Responsible,42.09248,-71.48315,"42.09248, -71.48315",Combined Cycle Gas Turbine,,http://www.globalenergyobservatory.org/geoid/2302,"Norfolk County, MA, USA",POWERPLANTS,,http://www.globalenergyobservatory.org/list.php?db=PowerPlants&type=Gas
Cabot Holyoke Gas Plant MA USA,27.4,United States of America,Massachusetts,GAS,Environmentally Responsible,42.1997,-72.6103,"42.1997, -72.6103",,,http://www.globalenergyobservatory.org/geoid/2508,,POWERPLANTS,,http://www.globalenergyobservatory.org/list.php?db=PowerPlants&type=Gas
Eastman Gelatine Gas CHP Plant MA USA,6.7,United States of America,Massachusetts,GAS,Environmentally Responsible,42.6678,-70.9586,"42.6678, -70.9586",,,http://www.globalenergyobservatory.org/geoid/3015,"Essex County, MA, USA",POWERPLANTS,,http://www.globalenergyobservatory.org/list.php?db=PowerPlants&type=Gas
Medical Area Total Energy Plant Gas Plant MA USA,87.8,United States of America,Massachusetts,GAS,Environmentally Responsible,42.3364,-71.1089,"42.3364, -71.1089",,,http://www.globalenergyobservatory.org/geoid/4237,,POWERPLANTS,,http://www.globalenergyobservatory.org/list.php?db=PowerPlants&type=Gas
New Boston Generating Station Gas Plant MA USA,736.2,United States of America,Massachusetts,GAS,Environmentally Responsible,42.3406,-71.035,"42.3406, -71.035",,,http://www.globalenergyobservatory.org/geoid/4464,,POWERPLANTS,,http://www.globalenergyobservatory.org/list.php?db=PowerPlants&type=Gas
Univ of Massachusetts Medical Center Gas Plant MA USA,10,United States of America,Massachusetts,GAS,Environmentally Responsible,42.3468,-71.9077,"42.3468, -71.9077",,,http://www.globalenergyobservatory.org/geoid/5857,,POWERPLANTS,,http://www.globalenergyobservatory.org/list.php?db=PowerPlants&type=Gas
Ada Cogeneration LP Gas Plant MI USA,33.1,United States of America,Michigan,GAS,Environmentally Responsible,43.0356,-85.553,"43.0356, -85.553",,,http://www.globalenergyobservatory.org/geoid/1981,,POWERPLANTS,,http://www.globalenergyobservatory.org/list.php?db=PowerPlants&type=Gas
