PLANT_NAME,PLANT_DESIGN_CAPACITY_MWE,PLANT_COUNTRY,PLANT_STATE,TYPE,PLANT_OVERALL_RATING,PLANT_LATITUDE,PLANT_LONGITUDE,geopoint,PLANT_TYPE_OF_PLANT,PLANT_USED_FOR,PLANT_URL,PLANT_LOCATION,TOPIC,,TYPE_URL
M and M Mars Chicago Gas Plant IL USA,3.5,United States of America,Illinois,GAS,Environmentally Responsible,41.8431,-87.822,"41.8431, -87.822",,,http://www.globalenergyobservatory.org/geoid/4111,,POWERPLANTS,,http://www.globalenergyobservatory.org/list.php?db=PowerPlants&type=Gas
NRG Rockford I Gas Plant IL USA,316,United States of America,Illinois,GAS,Environmentally Responsible,42.2403,-89.1025,"42.2403, -89.1025",,,http://www.globalenergyobservatory.org/geoid/4551,,POWERPLANTS,,http://www.globalenergyobservatory.org/list.php?db=PowerPlants&type=Gas
NRG Rockford II Energy Center Gas Plant IL USA,168,United States of America,Illinois,GAS,Environmentally Responsible,42.3363,-89.1609,"42.3363, -89.1609",,,http://www.globalenergyobservatory.org/geoid/4552,,POWERPLANTS,,http://www.globalenergyobservatory.org/list.php?db=PowerPlants&type=Gas
Panduit Tinley Park Gas Plant IL USA,1.4,United States of America,Illinois,GAS,Environmentally Responsible,41.8431,-87.822,"41.8431, -87.822",,,http://www.globalenergyobservatory.org/geoid/4694,,POWERPLANTS,,http://www.globalenergyobservatory.org/list.php?db=PowerPlants&type=Gas
Princeton Gas Plant IL USA,37.9,United States of America,Illinois,GAS,Environmentally Responsible,41.4066,-89.534,"41.4066, -89.534",,,http://www.globalenergyobservatory.org/geoid/4934,,POWERPLANTS,,http://www.globalenergyobservatory.org/list.php?db=PowerPlants&type=Gas
Sherman Hospital Gas Plant IL USA,1.6,United States of America,Illinois,GAS,Environmentally Responsible,41.9406,-88.4339,"41.9406, -88.4339",,,http://www.globalenergyobservatory.org/geoid/5371,,POWERPLANTS,,http://www.globalenergyobservatory.org/list.php?db=PowerPlants&type=Gas
Thornridge High School Gas Plant IL USA,1,United States of America,Illinois,GAS,Environmentally Responsible,41.8431,-87.822,"41.8431, -87.822",,,http://www.globalenergyobservatory.org/geoid/5711,,POWERPLANTS,,http://www.globalenergyobservatory.org/list.php?db=PowerPlants&type=Gas
University Park Energy LLC Gas Plant IL USA,342,United States of America,Illinois,GAS,Environmentally Responsible,41.4358,-87.7481,"41.4358, -87.7481",,,http://www.globalenergyobservatory.org/geoid/5872,,POWERPLANTS,,http://www.globalenergyobservatory.org/list.php?db=PowerPlants&type=Gas
Venice Gas Plant IL USA,892.5,United States of America,Illinois,GAS,Environmentally Responsible,38.6642,-90.1764,"38.6642, -90.1764",,,http://www.globalenergyobservatory.org/geoid/5920,,POWERPLANTS,,http://www.globalenergyobservatory.org/list.php?db=PowerPlants&type=Gas
Wells Manufacturing Dura Bar Division Gas Plant IL USA,6,United States of America,Illinois,GAS,Environmentally Responsible,42.324,-88.4543,"42.324, -88.4543",,,http://www.globalenergyobservatory.org/geoid/6030,,POWERPLANTS,,http://www.globalenergyobservatory.org/list.php?db=PowerPlants&type=Gas
Mirant Sugar Creek Power Plant Gas Plant IN USA,555.3,United States of America,Indiana,GAS,Environmentally Responsible,39.3997,-87.5026,"39.3997, -87.5026",,,http://www.globalenergyobservatory.org/geoid/4308,,POWERPLANTS,,http://www.globalenergyobservatory.org/list.php?db=PowerPlants&type=Gas
Northeast Gas Plant IN USA,22.2,United States of America,Indiana,GAS,Environmentally Responsible,38.0282,-87.5942,"38.0282, -87.5942",,,http://www.globalenergyobservatory.org/geoid/4535,,POWERPLANTS,,http://www.globalenergyobservatory.org/list.php?db=PowerPlants&type=Gas
Worthington Generation LLC Gas Plant IN USA,242,United States of America,Indiana,GAS,Environmentally Responsible,39.0717,-87.0128,"39.0717, -87.0128",,,http://www.globalenergyobservatory.org/geoid/6167,,POWERPLANTS,,http://www.globalenergyobservatory.org/list.php?db=PowerPlants&type=Gas
Coralville GT Gas Plant IA USA,72,United States of America,Iowa,GAS,Environmentally Responsible,41.6685,-91.5903,"41.6685, -91.5903",,,http://www.globalenergyobservatory.org/geoid/2767,,POWERPLANTS,,http://www.globalenergyobservatory.org/list.php?db=PowerPlants&type=Gas
Merle Parr Gas Plant IA USA,36,United States of America,Iowa,GAS,Environmentally Responsible,43.063,-92.7929,"43.063, -92.7929",,,http://www.globalenergyobservatory.org/geoid/4253,,POWERPLANTS,,http://www.globalenergyobservatory.org/list.php?db=PowerPlants&type=Gas
Anthony Gas Plant KS USA,11.1,United States of America,Kansas,GAS,Environmentally Responsible,37.1903,-98.0729,"37.1903, -98.0729",,,http://www.globalenergyobservatory.org/geoid/2138,,POWERPLANTS,,http://www.globalenergyobservatory.org/list.php?db=PowerPlants&type=Gas
Belleville Gas Plant KS USA,13,United States of America,Kansas,GAS,Environmentally Responsible,39.8238,-97.6452,"39.8238, -97.6452",,,http://www.globalenergyobservatory.org/geoid/2299,,POWERPLANTS,,http://www.globalenergyobservatory.org/list.php?db=PowerPlants&type=Gas
Cimarron River Gas Plant KS USA,65,United States of America,Kansas,GAS,Environmentally Responsible,37.1661,-100.7639,"37.1661, -100.7639",,,http://www.globalenergyobservatory.org/geoid/2681,,POWERPLANTS,,http://www.globalenergyobservatory.org/list.php?db=PowerPlants&type=Gas
Garden City Gas Plant KS USA,267.8,United States of America,Kansas,GAS,Environmentally Responsible,37.9703,-100.8956,"37.9703, -100.8956",,,http://www.globalenergyobservatory.org/geoid/3267,,POWERPLANTS,,http://www.globalenergyobservatory.org/list.php?db=PowerPlants&type=Gas
Gordon Evans Energy Center Gas Plant KS USA,904,United States of America,Kansas,GAS,Environmentally Responsible,37.7903,-97.5217,"37.7903, -97.5217",,,http://www.globalenergyobservatory.org/geoid/3354,,POWERPLANTS,,http://www.globalenergyobservatory.org/list.php?db=PowerPlants&type=Gas
Lakin Municipal Gas Plant KS USA,4.4,United States of America,Kansas,GAS,Environmentally Responsible,37.9941,-101.3152,"37.9941, -101.3152",,,http://www.globalenergyobservatory.org/geoid/3980,,POWERPLANTS,,http://www.globalenergyobservatory.org/list.php?db=PowerPlants&type=Gas
Norton Gas Plant KS USA,11.2,United States of America,Kansas,GAS,Environmentally Responsible,39.7804,-99.9027,"39.7804, -99.9027",,,http://www.globalenergyobservatory.org/geoid/4545,,POWERPLANTS,,http://www.globalenergyobservatory.org/list.php?db=PowerPlants&type=Gas
Russell Energy Center Gas Plant KS USA,15,United States of America,Kansas,GAS,Environmentally Responsible,38.9149,-98.7623,"38.9149, -98.7623",,,http://www.globalenergyobservatory.org/geoid/5186,,POWERPLANTS,,http://www.globalenergyobservatory.org/list.php?db=PowerPlants&type=Gas
Stockton Gas Plant KS USA,6,United States of America,Kansas,GAS,Environmentally Responsible,39.3443,-99.3212,"39.3443, -99.3212",,,http://www.globalenergyobservatory.org/geoid/5557,,POWERPLANTS,,http://www.globalenergyobservatory.org/list.php?db=PowerPlants&type=Gas
Foothills Generating LLC Gas Plant KY USA,460,United States of America,Kentucky,GAS,Environmentally Responsible,38.0716,-82.7387,"38.0716, -82.7387",,,http://www.globalenergyobservatory.org/geoid/3193,,POWERPLANTS,,http://www.globalenergyobservatory.org/list.php?db=PowerPlants&type=Gas
Big Cajun 1 Gas Plant LA USA,492.8,United States of America,Louisiana,GAS,Environmentally Responsible,30.6736,-91.3525,"30.6736, -91.3525",,,http://www.globalenergyobservatory.org/geoid/2337,,POWERPLANTS,,http://www.globalenergyobservatory.org/list.php?db=PowerPlants&type=Gas
Formosa Plastics Gas Plant LA USA,143.7,United States of America,Louisiana,GAS,Environmentally Responsible,30.4986,-91.1883,"30.4986, -91.1883",,,http://www.globalenergyobservatory.org/geoid/3197,,POWERPLANTS,,http://www.globalenergyobservatory.org/list.php?db=PowerPlants&type=Gas
Louisiana Tech University Power Plant Gas Plant LA USA,15,United States of America,Louisiana,GAS,Environmentally Responsible,32.6043,-92.6585,"32.6043, -92.6585",,,http://www.globalenergyobservatory.org/geoid/4088,,POWERPLANTS,,http://www.globalenergyobservatory.org/list.php?db=PowerPlants&type=Gas
Natchitoches Gas Plant LA USA,53,United States of America,Louisiana,GAS,Environmentally Responsible,31.7578,-93.1058,"31.7578, -93.1058",,,http://www.globalenergyobservatory.org/geoid/4445,,POWERPLANTS,,http://www.globalenergyobservatory.org/list.php?db=PowerPlants&type=Gas
New Orleans Gas Plant LA USA,31.2,United States of America,Louisiana,GAS,Environmentally Responsible,30.0331,-89.9102,"30.0331, -89.9102",,,http://www.globalenergyobservatory.org/geoid/4477,,POWERPLANTS,,http://www.globalenergyobservatory.org/list.php?db=PowerPlants&type=Gas
Taft Cogeneration Facility Gas Plant LA USA,835,United States of America,Louisiana,GAS,Environmentally Responsible,29.9861,-90.4575,"29.9861, -90.4575",,,http://www.globalenergyobservatory.org/geoid/5634,,POWERPLANTS,,http://www.globalenergyobservatory.org/list.php?db=PowerPlants&type=Gas
Teche Gas Plant LA USA,427.8,United States of America,Louisiana,GAS,Environmentally Responsible,29.8292,-91.5417,"29.8292, -91.5417",,,http://www.globalenergyobservatory.org/geoid/5673,,POWERPLANTS,,http://www.globalenergyobservatory.org/list.php?db=PowerPlants&type=Gas
Mongaup Hydro Power Plant NY USA,4,United States of America,New York,HYDRO,Environmentally Responsible,41.7173,-74.7722,"41.7173, -74.7722",,,http://www.globalenergyobservatory.org/geoid/1143,,POWERPLANTS,,http://www.globalenergyobservatory.org/list.php?db=PowerPlants&type=Hydro
Moose River Hydro Power Plant NY USA,12.6,United States of America,New York,HYDRO,Environmentally Responsible,43.7846,-75.4496,"43.7846, -75.4496",,,http://www.globalenergyobservatory.org/geoid/1151,,POWERPLANTS,,http://www.globalenergyobservatory.org/list.php?db=PowerPlants&type=Hydro
Oswego Falls East Hydro Power Plant NY USA,6,United States of America,New York,HYDRO,Environmentally Responsible,43.4285,-76.141,"43.4285, -76.141",,,http://www.globalenergyobservatory.org/geoid/1279,,POWERPLANTS,,http://www.globalenergyobservatory.org/list.php?db=PowerPlants&type=Hydro
Phoenix Hydro Project Hydro Power Plant NY USA,3.4,United States of America,New York,HYDRO,Environmentally Responsible,43.4285,-76.141,"43.4285, -76.141",,,http://www.globalenergyobservatory.org/geoid/1331,,POWERPLANTS,,http://www.globalenergyobservatory.org/list.php?db=PowerPlants&type=Hydro
Port Leyden Hydroelectric Project Hydro Power Plant NY USA,1,United States of America,New York,HYDRO,Environmentally Responsible,43.7846,-75.4496,"43.7846, -75.4496",,,http://www.globalenergyobservatory.org/geoid/1366,,POWERPLANTS,,http://www.globalenergyobservatory.org/list.php?db=PowerPlants&type=Hydro
Schuylerville Hydro Power Plant NY USA,2,United States of America,New York,HYDRO,Environmentally Responsible,43.1054,-73.8668,"43.1054, -73.8668",,,http://www.globalenergyobservatory.org/geoid/1555,,POWERPLANTS,,http://www.globalenergyobservatory.org/list.php?db=PowerPlants&type=Hydro
Stillwater Hydro Electric Project Hydro Power Plant NY USA,3.4,United States of America,New York,HYDRO,Environmentally Responsible,43.1054,-73.8668,"43.1054, -73.8668",,,http://www.globalenergyobservatory.org/geoid/1670,,POWERPLANTS,,http://www.globalenergyobservatory.org/list.php?db=PowerPlants&type=Hydro
Tannery Island Power Hydro Power Plant NY USA,1.5,United States of America,New York,HYDRO,Environmentally Responsible,44.0395,-75.9146,"44.0395, -75.9146",,,http://www.globalenergyobservatory.org/geoid/1706,,POWERPLANTS,,http://www.globalenergyobservatory.org/list.php?db=PowerPlants&type=Hydro
Theresa Plant Hydro Power Plant NY USA,1.3,United States of America,New York,HYDRO,Environmentally Responsible,44.0395,-75.9146,"44.0395, -75.9146",,,http://www.globalenergyobservatory.org/geoid/1723,,POWERPLANTS,,http://www.globalenergyobservatory.org/list.php?db=PowerPlants&type=Hydro
Varick Hydro Power Plant NY USA,8,United States of America,New York,HYDRO,Environmentally Responsible,43.4285,-76.141,"43.4285, -76.141",,,http://www.globalenergyobservatory.org/geoid/1812,,POWERPLANTS,,http://www.globalenergyobservatory.org/list.php?db=PowerPlants&type=Hydro
Walden Hydro Power Plant NY USA,2.4,United States of America,New York,HYDRO,Environmentally Responsible,41.4002,-74.3111,"41.4002, -74.3111",,,http://www.globalenergyobservatory.org/geoid/1839,,POWERPLANTS,,http://www.globalenergyobservatory.org/list.php?db=PowerPlants&type=Hydro
West End Dam Hydroelectric Project Hydro Power Plant NY USA,4.4,United States of America,New York,HYDRO,Environmentally Responsible,44.0395,-75.9146,"44.0395, -75.9146",,,http://www.globalenergyobservatory.org/geoid/1882,,POWERPLANTS,,http://www.globalenergyobservatory.org/list.php?db=PowerPlants&type=Hydro
Falls Hydro Power Plant NC USA,31.4,United States of America,North Carolina,HYDRO,Environmentally Responsible,35.3132,-80.2495,"35.3132, -80.2495",,,http://www.globalenergyobservatory.org/geoid/575,,POWERPLANTS,,http://www.globalenergyobservatory.org/list.php?db=PowerPlants&type=Hydro
Gaston Hydro Power Plant NC USA,177.6,United States of America,North Carolina,HYDRO,Environmentally Responsible,36.2529,-77.656,"36.2529, -77.656",,,http://www.globalenergyobservatory.org/geoid/646,,POWERPLANTS,,http://www.globalenergyobservatory.org/list.php?db=PowerPlants&type=Hydro
Hiwassee Dam Hydro Power Plant NC USA,165.6,United States of America,North Carolina,HYDRO,Environmentally Responsible,35.1331,-84.0589,"35.1331, -84.0589",,,http://www.globalenergyobservatory.org/geoid/790,,POWERPLANTS,,http://www.globalenergyobservatory.org/list.php?db=PowerPlants&type=Hydro
Queens Creek Hydro Power Plant NC USA,1.4,United States of America,North Carolina,HYDRO,Environmentally Responsible,35.1458,-83.4219,"35.1458, -83.4219",,,http://www.globalenergyobservatory.org/geoid/1414,,POWERPLANTS,,http://www.globalenergyobservatory.org/list.php?db=PowerPlants&type=Hydro
Rocky Mount Mills Hydro Power Plant NC USA,1.6,United States of America,North Carolina,HYDRO,Environmentally Responsible,36.0378,-77.7542,"36.0378, -77.7542",,,http://www.globalenergyobservatory.org/geoid/1490,,POWERPLANTS,,http://www.globalenergyobservatory.org/list.php?db=PowerPlants&type=Hydro
Santeetlah Hydro Power Plant NC USA,45,United States of America,North Carolina,HYDRO,Environmentally Responsible,35.3462,-83.8332,"35.3462, -83.8332",,,http://www.globalenergyobservatory.org/geoid/1544,,POWERPLANTS,,http://www.globalenergyobservatory.org/list.php?db=PowerPlants&type=Hydro
Garrison Hydro Power Plant ND USA,614,United States of America,North Dakota,HYDRO,Environmentally Responsible,47.3093,-101.8364,"47.3093, -101.8364",,,http://www.globalenergyobservatory.org/geoid/644,,POWERPLANTS,,http://www.globalenergyobservatory.org/list.php?db=PowerPlants&type=Hydro
Broken Bow Hydro Power Plant OK USA,100,United States of America,Oklahoma,HYDRO,Environmentally Responsible,34.1177,-94.7674,"34.1177, -94.7674",,,http://www.globalenergyobservatory.org/geoid/216,,POWERPLANTS,,http://www.globalenergyobservatory.org/list.php?db=PowerPlants&type=Hydro
Fort Gibson Hydro Power Plant OK USA,44.8,United States of America,Oklahoma,HYDRO,Environmentally Responsible,35.9138,-94.9998,"35.9138, -94.9998",,,http://www.globalenergyobservatory.org/geoid/611,,POWERPLANTS,,http://www.globalenergyobservatory.org/list.php?db=PowerPlants&type=Hydro
Salina Pump[ed Storage Hydro Power Plant OK USA,288,United States of America,Oklahoma,HYDRO,Environmentally Responsible,36.2662,-95.1052,"36.2662, -95.1052",Pumped Storage Power Plant,Peaking Load,http://www.globalenergyobservatory.org/geoid/1520,"Mayes County, OK, USA",POWERPLANTS,,http://www.globalenergyobservatory.org/list.php?db=PowerPlants&type=Hydro
Tenkiller Ferry Hydro Power Plant OK USA,39,United States of America,Oklahoma,HYDRO,Environmentally Responsible,35.5046,-94.7531,"35.5046, -94.7531",,,http://www.globalenergyobservatory.org/geoid/1712,,POWERPLANTS,,http://www.globalenergyobservatory.org/list.php?db=PowerPlants&type=Hydro
Clearwater 1 Hydro Power Plant OR USA,15,United States of America,Oregon,HYDRO,Environmentally Responsible,43.2732,-123.163,"43.2732, -123.163",,,http://www.globalenergyobservatory.org/geoid/343,,POWERPLANTS,,http://www.globalenergyobservatory.org/list.php?db=PowerPlants&type=Hydro
Foster Hydro Power Plant OR USA,20,United States of America,Oregon,HYDRO,Environmentally Responsible,44.4825,-122.5314,"44.4825, -122.5314",,,http://www.globalenergyobservatory.org/geoid/618,,POWERPLANTS,,http://www.globalenergyobservatory.org/list.php?db=PowerPlants&type=Hydro
Green Springs Hydro Power Plant OR USA,17.2,United States of America,Oregon,HYDRO,Environmentally Responsible,42.4274,-122.7231,"42.4274, -122.7231",,,http://www.globalenergyobservatory.org/geoid/708,,POWERPLANTS,,http://www.globalenergyobservatory.org/list.php?db=PowerPlants&type=Hydro
Hills Creek Hydro Power Plant OR USA,30,United States of America,Oregon,HYDRO,Environmentally Responsible,43.931,-122.8437,"43.931, -122.8437",,,http://www.globalenergyobservatory.org/geoid/787,,POWERPLANTS,,http://www.globalenergyobservatory.org/list.php?db=PowerPlants&type=Hydro
Lemolo 1 Hydro Power Plant OR USA,29,United States of America,Oregon,HYDRO,Environmentally Responsible,43.32249,-122.1945,"43.32249, -122.1945",Dam on river with reservoir,,http://www.globalenergyobservatory.org/geoid/993,"Douglas County, OR, USA",POWERPLANTS,,http://www.globalenergyobservatory.org/list.php?db=PowerPlants&type=Hydro
Lemolo 2 Hydro Power Plant OR USA,33,United States of America,Oregon,HYDRO,Environmentally Responsible,43.2732,-123.163,"43.2732, -123.163",,,http://www.globalenergyobservatory.org/geoid/994,,POWERPLANTS,,http://www.globalenergyobservatory.org/list.php?db=PowerPlants&type=Hydro
Lost Creek Hydro Power Plant OR USA,49,United States of America,Oregon,HYDRO,Environmentally Responsible,42.4274,-122.7231,"42.4274, -122.7231",,,http://www.globalenergyobservatory.org/geoid/1026,,POWERPLANTS,,http://www.globalenergyobservatory.org/list.php?db=PowerPlants&type=Hydro
Michell Butte Power Project Hydro Power Plant OR USA,1.8,United States of America,Oregon,HYDRO,Environmentally Responsible,43.1864,-117.6161,"43.1864, -117.6161",,,http://www.globalenergyobservatory.org/geoid/1107,,POWERPLANTS,,http://www.globalenergyobservatory.org/list.php?db=PowerPlants&type=Hydro
North Fork Hydro Power Plant OR USA,38.4,United States of America,Oregon,HYDRO,Environmentally Responsible,45.1807,-122.2165,"45.1807, -122.2165",,,http://www.globalenergyobservatory.org/geoid/1232,,POWERPLANTS,,http://www.globalenergyobservatory.org/list.php?db=PowerPlants&type=Hydro
Prospect 2 Hydro Power Plant OR USA,32,United States of America,Oregon,HYDRO,Environmentally Responsible,42.4274,-122.7231,"42.4274, -122.7231",,,http://www.globalenergyobservatory.org/geoid/1400,,POWERPLANTS,,http://www.globalenergyobservatory.org/list.php?db=PowerPlants&type=Hydro
Prospect 4 Hydro Power Plant OR USA,1,United States of America,Oregon,HYDRO,Environmentally Responsible,42.4274,-122.7231,"42.4274, -122.7231",,,http://www.globalenergyobservatory.org/geoid/1402,,POWERPLANTS,,http://www.globalenergyobservatory.org/list.php?db=PowerPlants&type=Hydro
Slide Creek Hydro Power Plant OR USA,18,United States of America,Oregon,HYDRO,Environmentally Responsible,43.2732,-123.163,"43.2732, -123.163",,,http://www.globalenergyobservatory.org/geoid/1599,,POWERPLANTS,,http://www.globalenergyobservatory.org/list.php?db=PowerPlants&type=Hydro
Stone Creek Hydro Power Plant OR USA,12,United States of America,Oregon,HYDRO,Environmentally Responsible,45.1807,-122.2165,"45.1807, -122.2165",,,http://www.globalenergyobservatory.org/geoid/1678,,POWERPLANTS,,http://www.globalenergyobservatory.org/list.php?db=PowerPlants&type=Hydro
The Dalles Hydro Power Plant OR USA,1819.7,United States of America,Oregon,HYDRO,Environmentally Responsible,45.6131,-121.1325,"45.6131, -121.1325",Dam with run-of-river generation,,http://www.globalenergyobservatory.org/geoid/1722,"Wasco County, OR, USA",POWERPLANTS,,http://www.globalenergyobservatory.org/list.php?db=PowerPlants&type=Hydro
Toketee Falls Hydro Power Plant OR USA,42.6,United States of America,Oregon,HYDRO,Environmentally Responsible,43.2732,-123.163,"43.2732, -123.163",,,http://www.globalenergyobservatory.org/geoid/1739,,POWERPLANTS,,http://www.globalenergyobservatory.org/list.php?db=PowerPlants&type=Hydro
Wallowa Falls Hydro Power Plant OR USA,1.1,United States of America,Oregon,HYDRO,Environmentally Responsible,45.5785,-117.1837,"45.5785, -117.1837",,,http://www.globalenergyobservatory.org/geoid/1842,,POWERPLANTS,,http://www.globalenergyobservatory.org/list.php?db=PowerPlants&type=Hydro
Warm Springs Power Enterprises Hydro Power Plant OR USA,19.6,United States of America,Oregon,HYDRO,Environmentally Responsible,44.6233,-121.1729,"44.6233, -121.1729",,,http://www.globalenergyobservatory.org/geoid/1854,,POWERPLANTS,,http://www.globalenergyobservatory.org/list.php?db=PowerPlants&type=Hydro
Allegheny Hydro No 9 LP Hydro Power Plant PA USA,17.8,United States of America,Pennsylvania,HYDRO,Environmentally Responsible,40.8154,-79.4752,"40.8154, -79.4752",,,http://www.globalenergyobservatory.org/geoid/34,,POWERPLANTS,,http://www.globalenergyobservatory.org/list.php?db=PowerPlants&type=Hydro
Allegheny Hydro Partners Ltd Hydro Power Plant PA USA,9.2,United States of America,Pennsylvania,HYDRO,Environmentally Responsible,40.8154,-79.4752,"40.8154, -79.4752",,,http://www.globalenergyobservatory.org/geoid/35,,POWERPLANTS,,http://www.globalenergyobservatory.org/list.php?db=PowerPlants&type=Hydro
Allegheny No 6 Hydro Partners Hydro Power Plant PA USA,9.2,United States of America,Pennsylvania,HYDRO,Environmentally Responsible,40.8154,-79.4752,"40.8154, -79.4752",,,http://www.globalenergyobservatory.org/geoid/36,,POWERPLANTS,,http://www.globalenergyobservatory.org/list.php?db=PowerPlants&type=Hydro
Conemaugh Hydro Plant Hydro Power Plant PA USA,15,United States of America,Pennsylvania,HYDRO,Environmentally Responsible,40.3101,-79.4721,"40.3101, -79.4721",,,http://www.globalenergyobservatory.org/geoid/380,,POWERPLANTS,,http://www.globalenergyobservatory.org/list.php?db=PowerPlants&type=Hydro
Lake Lynn Power Station Hydro Power Plant PA USA,51.2,United States of America,Pennsylvania,HYDRO,Environmentally Responsible,39.9189,-79.6521,"39.9189, -79.6521",,,http://www.globalenergyobservatory.org/geoid/973,,POWERPLANTS,,http://www.globalenergyobservatory.org/list.php?db=PowerPlants&type=Hydro
PPL Holtwood Hydro Power Plant PA USA,107.2,United States of America,Pennsylvania,HYDRO,Environmentally Responsible,39.826,-76.3308,"39.826, -76.3308",,,http://www.globalenergyobservatory.org/geoid/1382,,POWERPLANTS,,http://www.globalenergyobservatory.org/list.php?db=PowerPlants&type=Hydro
PPL HW Wallenpaupack Hydro Power Plant PA USA,40,United States of America,Pennsylvania,HYDRO,Environmentally Responsible,40.7548,-75.3138,"40.7548, -75.3138",,,http://www.globalenergyobservatory.org/geoid/1384,,POWERPLANTS,,http://www.globalenergyobservatory.org/list.php?db=PowerPlants&type=Hydro
Fishing Creek Hydro Power Plant SC USA,42.3,United States of America,South Carolina,HYDRO,Environmentally Responsible,34.6863,-81.16,"34.6863, -81.16",,,http://www.globalenergyobservatory.org/geoid/585,,POWERPLANTS,,http://www.globalenergyobservatory.org/list.php?db=PowerPlants&type=Hydro
Gaston Shoals Hydro Power Plant SC USA,6.7,United States of America,South Carolina,HYDRO,Environmentally Responsible,35.047,-81.6176,"35.047, -81.6176",,,http://www.globalenergyobservatory.org/geoid/647,,POWERPLANTS,,http://www.globalenergyobservatory.org/list.php?db=PowerPlants&type=Hydro
J Strom Thurmond Hydro Power Plant SC USA,320,United States of America,South Carolina,HYDRO,Environmentally Responsible,33.895,-82.3075,"33.895, -82.3075",,,http://www.globalenergyobservatory.org/geoid/863,,POWERPLANTS,,http://www.globalenergyobservatory.org/list.php?db=PowerPlants&type=Hydro
Lockhart Hydro Power Plant SC USA,18,United States of America,South Carolina,HYDRO,Environmentally Responsible,34.684,-81.6174,"34.684, -81.6174",,,http://www.globalenergyobservatory.org/geoid/1013,,POWERPLANTS,,http://www.globalenergyobservatory.org/list.php?db=PowerPlants&type=Hydro
Parr Hydro Hydro Power Plant SC USA,14.4,United States of America,South Carolina,HYDRO,Environmentally Responsible,34.3899,-81.1164,"34.3899, -81.1164",,,http://www.globalenergyobservatory.org/geoid/1306,,POWERPLANTS,,http://www.globalenergyobservatory.org/list.php?db=PowerPlants&type=Hydro
Rocky Creek Hydro Power Plant SC USA,28,United States of America,South Carolina,HYDRO,Environmentally Responsible,34.3899,-81.1164,"34.3899, -81.1164",,,http://www.globalenergyobservatory.org/geoid/1489,,POWERPLANTS,,http://www.globalenergyobservatory.org/list.php?db=PowerPlants&type=Hydro
Ware Shoals Hydro Project Hydro Power Plant SC USA,6.2,United States of America,South Carolina,HYDRO,Environmentally Responsible,34.4775,-81.9994,"34.4775, -81.9994",,,http://www.globalenergyobservatory.org/geoid/1852,,POWERPLANTS,,http://www.globalenergyobservatory.org/list.php?db=PowerPlants&type=Hydro
Dale Hollow Hydro Power Plant TN USA,54,United States of America,Tennessee,HYDRO,Environmentally Responsible,36.5535,-85.5433,"36.5535, -85.5433",,,http://www.globalenergyobservatory.org/geoid/438,,POWERPLANTS,,http://www.globalenergyobservatory.org/list.php?db=PowerPlants&type=Hydro
Fort Loudoun Hydro Power Plant TN USA,144.5,United States of America,Tennessee,HYDRO,Environmentally Responsible,35.738,-84.3061,"35.738, -84.3061",,,http://www.globalenergyobservatory.org/geoid/612,,POWERPLANTS,,http://www.globalenergyobservatory.org/list.php?db=PowerPlants&type=Hydro
Fort Patrick Henry Hydro Power Plant TN USA,59.4,United States of America,Tennessee,HYDRO,Environmentally Responsible,36.5162,-82.3017,"36.5162, -82.3017",,,http://www.globalenergyobservatory.org/geoid/615,,POWERPLANTS,,http://www.globalenergyobservatory.org/list.php?db=PowerPlants&type=Hydro
South Holston Hydro Power Plant TN USA,38.5,United States of America,Tennessee,HYDRO,Environmentally Responsible,36.5162,-82.3017,"36.5162, -82.3017",,,http://www.globalenergyobservatory.org/geoid/1627,,POWERPLANTS,,http://www.globalenergyobservatory.org/list.php?db=PowerPlants&type=Hydro
Tims Ford Hydro Power Plant TN USA,45.7,United States of America,Tennessee,HYDRO,Environmentally Responsible,35.1616,-86.0909,"35.1616, -86.0909",,,http://www.globalenergyobservatory.org/geoid/1736,,POWERPLANTS,,http://www.globalenergyobservatory.org/list.php?db=PowerPlants&type=Hydro
Buchanan Hydro Power Plant TX USA,47.8,United States of America,Texas,HYDRO,Environmentally Responsible,30.7966,-98.1824,"30.7966, -98.1824",,,http://www.globalenergyobservatory.org/geoid/224,,POWERPLANTS,,http://www.globalenergyobservatory.org/list.php?db=PowerPlants&type=Hydro
Denison Hydro Power Plant TX USA,70,United States of America,Texas,HYDRO,Environmentally Responsible,33.6302,-96.6696,"33.6302, -96.6696",,,http://www.globalenergyobservatory.org/geoid/466,,POWERPLANTS,,http://www.globalenergyobservatory.org/list.php?db=PowerPlants&type=Hydro
Bartholomew Hydro Power Plant UT USA,1.5,United States of America,Utah,HYDRO,Environmentally Responsible,40.1183,-111.6686,"40.1183, -111.6686",,,http://www.globalenergyobservatory.org/geoid/109,,POWERPLANTS,,http://www.globalenergyobservatory.org/list.php?db=PowerPlants&type=Hydro
Deer Creek Hydro Power Plant UT USA,4.8,United States of America,Utah,HYDRO,Environmentally Responsible,40.3289,-111.1622,"40.3289, -111.1622",,,http://www.globalenergyobservatory.org/geoid/457,,POWERPLANTS,,http://www.globalenergyobservatory.org/list.php?db=PowerPlants&type=Hydro
